,model,RMSE,R2 score,time,features
0,OLS,24.66074046240869,0.473030390688166,0.01695418357849121,1
1,ElasticNet,24.6607168261687,0.47303140084227746,0.007978439331054688,1
2,BayesianRidge,24.660728816831753,0.4730308883912815,0.010000228881835938,1
3,Lasso,24.660699648356413,0.47303213497864405,0.003964900970458984,1
4,Ridge,24.66074046199291,0.47303039070593567,0.007978677749633789,1
5,KNN,23.029286700918426,0.5404483626493013,0.18450689315795898,1
6,rff,22.31645216404139,0.5684574243705505,0.608372688293457,1
7,etr,22.363088941146472,0.5666518699662051,0.3390944004058838,1
0,OLS,24.15958986950245,0.5000056865930871,0.005984067916870117,2
1,ElasticNet,24.26174907996685,0.49576827868967355,0.00698089599609375,2
2,BayesianRidge,24.159606728932793,0.5000049887648306,0.004987001419067383,2
3,Lasso,24.17992873794633,0.49916348693959844,0.007977962493896484,2
4,Ridge,24.159590227475352,0.5000056717762448,0.0029921531677246094,2
5,KNN,23.683768901602885,0.5195064308677269,0.08976054191589355,2
6,rff,22.0773219740215,0.5824786069504088,0.5924475193023682,2
7,etr,22.07858835532405,0.5824307065346965,0.42383360862731934,2
0,OLS,24.042463369373742,0.5115294645627126,0.004012584686279297,3
1,ElasticNet,24.073622846151896,0.5102625104168312,0.01194143295288086,3
2,BayesianRidge,24.042015847680524,0.5115476489827738,0.003989219665527344,3
3,Lasso,24.057760177954382,0.510907696553885,0.012964010238647461,3
4,Ridge,24.04246010648146,0.5115295971470164,0.002991914749145508,3
5,KNN,19.49798637651281,0.6787375468266137,0.0907583236694336,3
6,rff,18.094820667877023,0.7233128354912157,1.1479277610778809,3
7,etr,18.122133194395413,0.7224769356515262,0.7068910598754883,3
0,OLS,23.54026180646379,0.530996463917889,0.004986763000488281,4
1,ElasticNet,23.588768305769904,0.5290616376488906,0.01495981216430664,4
2,BayesianRidge,23.539717953931035,0.5310181345192297,0.004987239837646484,4
3,Lasso,23.554819426884123,0.530416208129459,0.01695537567138672,4
4,Ridge,23.540256913644047,0.5309966588816954,0.0029914379119873047,4
5,KNN,16.746687546785996,0.7626379003984961,0.03494000434875488,4
6,rff,13.631419027532717,0.8427336974934173,4.355965614318848,4
7,etr,13.926792465150529,0.835844383069731,2.2311718463897705,4
0,OLS,23.279021766655266,0.5375975223599113,0.005984306335449219,5
1,ElasticNet,23.369879268351568,0.5339809854023672,0.021941184997558594,5
2,BayesianRidge,23.279989601212552,0.5375590724280523,0.007006168365478516,5
3,Lasso,23.32609441712127,0.5357255779527259,0.019927263259887695,5
4,Ridge,23.279027379554037,0.537597299376434,0.0030243396759033203,5
5,KNN,16.92329667463142,0.7556228275507724,0.0419156551361084,5
6,rff,12.020706071007615,0.8767035263842152,4.6430206298828125,5
7,etr,12.214982086622808,0.8726859398160063,2.3800768852233887,5
0,OLS,22.09018652445461,0.5892196372629389,0.005982875823974609,6
1,ElasticNet,22.331735271929247,0.5801870317962423,0.021941184997558594,6
2,BayesianRidge,22.08878628330533,0.5892717122725014,0.00498652458190918,6
3,Lasso,22.069583046497254,0.5899855481520946,0.02593064308166504,6
4,Ridge,22.09011349273218,0.5892223533964407,0.003989696502685547,6
5,KNN,16.76837449530694,0.7633029542197951,0.04890775680541992,6
6,rff,12.48181842197636,0.8688505030818,4.954721212387085,6
7,etr,12.585321592673898,0.8666664190229383,2.4774329662323,6
0,OLS,21.004336773581457,0.6197146265863536,0.0059814453125,7
1,ElasticNet,21.584630964944292,0.5984118107345475,0.02593231201171875,7
2,BayesianRidge,21.005868316439607,0.6196591671269239,0.006978511810302734,7
3,Lasso,21.167187000457954,0.6137949315007127,0.024932861328125,7
4,Ridge,21.00438715879473,0.6197128021266877,0.0029921531677246094,7
5,KNN,16.02974391311211,0.778514732088472,0.05186104774475098,7
6,rff,11.128975581377516,0.8932416003379559,5.176757574081421,7
7,etr,11.09929914047481,0.8938102034683958,2.8574118614196777,7
